,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2007-2008,18,Celta Vigo,es ESP,2. Segunda División,16th,19.5,,,,,,,,,,,,,,,3,,,,,,,,,
2008-2009,19,Albacete,es ESP,2. Segunda División,15th,33.1,,,,,,,,,,,,,,,4,,,,,,,,,
2009-2010,20,Valladolid,es ESP,1. La Liga,18th,31.8,,,,,,,,,,,,,,,4,,,,,,,,,Matches
2010-2011,21,Atlético Madrid,es ESP,1. La Liga,7th,15.1,,,,,,,,,,,,,,,2,,,,,,,,,Matches
2011-2012,22,Rayo Vallecano,es ESP,1. La Liga,15th,14.6,,,,,,,,,,,,,,,4,,,,,,,,,Matches
2012-2013,23,Atlético Madrid,es ESP,1. La Liga,3rd,22.6,,,,,,,,,,,,,,,7,,,,,,,,,Matches
2013-2014,24,Atlético Madrid,es ESP,1. La Liga,1st,32.8,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2014-2015,25,Chelsea,eng ENG,1. Premier League,1st,23.0,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2015-2016,26,Chelsea,eng ENG,1. Premier League,10th,26.4,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2016-2017,27,Chelsea,eng ENG,1. Premier League,1st,34.2,,,,,,,,,,,,,,,7,,,,,,,,,Matches
2017-2018,28,Atlético Madrid,es ESP,1. La Liga,2nd,11.6,237,316,75.0,2810,422,157,193,81.3,44,55,80.0,8,13,61.5,3,2.4,1.3,+0.6,13,11,9,1,16,Matches
2018-2019,29,Atlético Madrid,es ESP,1. La Liga,2nd,12.4,214,310,69.0,2551,330,129,163,79.1,44,70,62.9,10,12,83.3,2,0.9,0.7,+1.1,8,6,5,0,12,Matches
2019-2020,30,Atlético Madrid,es ESP,1. La Liga,3rd,15.0,253,369,68.6,3320,629,143,187,76.5,64,89,71.9,12,19,63.2,4,2.8,2.1,+1.2,15,16,14,1,34,Matches
2020-2021,31,Atlético Madrid,es ESP,1. La Liga,1st,2.3,57,74,77.0,716,71,37,45,82.2,10,13,76.9,4,4,100.0,0,0.5,0.4,-0.5,4,1,6,0,6,Matches
