Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
2007-2008,18,Celta Vigo,es ESP,2. Segunda División,16th,19.5,,,,,,,,,,,,,,,,,
2008-2009,19,Albacete,es ESP,2. Segunda División,15th,33.1,,,,,,,,,,,,,,,,,
2009-2010,20,Valladolid,es ESP,1. La Liga,18th,31.8,,,,,,,,,,,,,,,,,Matches
2010-2011,21,Atlético Madrid,es ESP,1. La Liga,7th,15.1,,,,,,,,,,,,,,,,,Matches
2011-2012,22,Rayo Vallecano,es ESP,1. La Liga,15th,14.6,,,,,,,,,,,,,,,,,Matches
2012-2013,23,Atlético Madrid,es ESP,1. La Liga,3rd,22.6,,,,,,,,,,,,,,,,,Matches
2013-2014,24,Atlético Madrid,es ESP,1. La Liga,1st,32.8,,,,,,,,,,,,,,,,,Matches
2014-2015,25,Chelsea,eng ENG,1. Premier League,1st,23.0,,,,,,,,,,,,,,,,,Matches
2015-2016,26,Chelsea,eng ENG,1. Premier League,10th,26.4,,,,,,,,,,,,,,,,,Matches
2016-2017,27,Chelsea,eng ENG,1. Premier League,1st,34.2,,,,,,,,,,,,,,,,,Matches
2017-2018,28,Atlético Madrid,es ESP,1. La Liga,2nd,11.6,31,2.68,23,0,1,2,3,2,6,0.52,4,0,0,0,1,1,Matches
2018-2019,29,Atlético Madrid,es ESP,1. La Liga,2nd,12.4,16,1.29,13,0,2,1,0,0,3,0.24,3,0,0,0,0,0,Matches
2019-2020,30,Atlético Madrid,es ESP,1. La Liga,3rd,15.0,31,2.07,22,0,1,4,3,1,7,0.47,5,0,1,1,0,0,Matches
2020-2021,31,Atlético Madrid,es ESP,1. La Liga,1st,2.3,9,3.88,6,0,0,1,2,0,3,1.29,2,0,0,0,1,0,Matches
