,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Attendu,Attendu,Attendu,Attendu,Progression,Progression,Progression,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Saison,Âge,Équipe,Pays,Comp,CltChamp,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs
2007-2008,18,Celta Vigo,es ESP,2. Segunda División,16e,30,19,1757,19.5,6,3,9,5,1,1,8,2,,,,,,,,0.31,0.15,0.46,0.26,0.41,,,,,,
2008-2009,19,Albacete,es ESP,2. Segunda División,15e,35,34,2983,33.1,10,4,14,7,3,3,13,2,,,,,,,,0.30,0.12,0.42,0.21,0.33,,,,,,
2009-2010,20,Valladolid,es ESP,1. La Liga,18e,34,32,2858,31.8,8,4,12,8,0,0,9,1,,,,,,,,0.25,0.13,0.38,0.25,0.38,,,,,,Matchs
2010-2011,21,Atlético Madrid,es ESP,1. La Liga,7e,28,13,1362,15.1,6,2,8,6,0,0,5,0,,,,,,,,0.40,0.13,0.53,0.40,0.53,,,,,,Matchs
2011-2012,22,Rayo Vallecano,es ESP,1. La Liga,15e,16,15,1310,14.6,9,4,13,7,2,2,9,0,,,,,,,,0.62,0.27,0.89,0.48,0.76,,,,,,Matchs
2012-2013,23,Atlético Madrid,es ESP,1. La Liga,3e,31,24,2035,22.6,10,7,17,10,0,0,12,0,,,,,,,,0.44,0.31,0.75,0.44,0.75,,,,,,Matchs
2013-2014,24,Atlético Madrid,es ESP,1. La Liga,1er,35,34,2948,32.8,27,3,30,22,5,8,7,0,,,,,,,,0.82,0.09,0.92,0.67,0.76,,,,,,Matchs
2014-2015,25,Chelsea,eng ENG,1. Premier League,1er,26,24,2068,23.0,20,3,23,19,1,1,8,0,,,,,,,,0.87,0.13,1.00,0.83,0.96,,,,,,Matchs
2015-2016,26,Chelsea,eng ENG,1. Premier League,10e,28,27,2373,26.4,12,6,18,12,0,0,8,0,,,,,,,,0.46,0.23,0.68,0.46,0.68,,,,,,Matchs
2016-2017,27,Chelsea,eng ENG,1. Premier League,1er,35,35,3082,34.2,20,7,27,20,0,1,10,0,,,,,,,,0.58,0.20,0.79,0.58,0.79,,,,,,Matchs
2017-2018,28,Atlético Madrid,es ESP,1. La Liga,2e,15,13,1041,11.6,3,3,6,3,0,0,7,1,3.6,3.6,2.4,6.0,27,16,122,0.26,0.26,0.52,0.26,0.52,0.31,0.21,0.52,0.31,0.52,Matchs
2018-2019,29,Atlético Madrid,es ESP,1. La Liga,2e,16,14,1112,12.4,2,2,4,2,0,0,4,1,1.7,1.7,0.9,2.6,18,12,93,0.16,0.16,0.32,0.16,0.32,0.14,0.07,0.21,0.14,0.21,Matchs
2019-2020,30,Atlético Madrid,es ESP,1. La Liga,3e,23,14,1350,15.0,5,4,9,3,2,3,5,0,6.7,4.3,2.8,7.1,9,34,86,0.33,0.27,0.60,0.20,0.47,0.44,0.19,0.63,0.29,0.47,Matchs
2020-2021,31,Atlético Madrid,es ESP,1. La Liga,1er,7,2,208,2.3,2,0,2,1,1,1,1,0,1.4,0.6,0.5,1.1,3,6,21,0.87,0.00,0.87,0.43,0.43,0.60,0.21,0.82,0.26,0.48,Matchs
