,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Season,Age,Squad,Comp,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2002-2003,17,Sporting CP,2 Leagues,13.3,3,,15,,,1.25,,0.20,,,0,0,,,,,,
2003-2004,18,Manchester Utd,2 Leagues,20.4,4,,25,,,1.22,,0.16,,,0,0,,,,,,
2004-2005,19,Manchester Utd,2 Leagues,32.5,5,,68,,,2.09,,0.07,,,0,0,,,,,,
2005-2006,20,Manchester Utd,2 Leagues,31.0,9,,56,,,1.81,,0.16,,,0,0,,,,,,
2006-2007,21,Manchester Utd,2 Leagues,41.7,20,,93,,,2.23,,0.18,,,3,4,,,,,,
2007-2008,22,Manchester Utd,2 Leagues,41.8,39,,110,,,2.63,,0.31,,,5,6,,,,,,
2008-2009,23,Manchester Utd,2 Leagues,41.7,22,,99,,,2.37,,0.18,,,4,4,,,,,,
2009-2010,24,Real Madrid,2 Leagues,32.3,33,,109,,,3.37,,0.27,,,4,5,,,,,,
2010-2011,25,Real Madrid,2 Leagues,43.7,46,,127,,,2.90,,0.29,,,9,9,,,,,,
2011-2012,26,Real Madrid,2 Leagues,47.6,56,,141,,,2.96,,0.30,,,14,15,,,,,,
2012-2013,27,Real Madrid,2 Leagues,42.2,46,,159,,,3.77,,0.25,,,6,7,,,,,,
2013-2014,28,Real Madrid,2 Leagues,39.2,48,,151,,,3.85,,0.26,,,8,9,,,,,,
2014-2015,29,Real Madrid,4 Leagues,48.6,61,,136,,,2.94,,0.33,,,13,16,,,,,,
2015-2016,30,Real Madrid,2 Leagues,47.7,51,227,138,43.2,6.42,2.89,0.13,0.31,,,8,9,,,,,,
2016-2017,31,Real Madrid,3 Leagues,43.5,38,230,87,37.8,5.54,2.09,0.13,0.36,,,6,8,,,,,,
2017-2018,32,Real Madrid,4 Leagues,38.7,42,253,102,40.3,6.58,2.65,0.13,0.33,15.8,18,7,8,40.0,33.6,0.13,+1.0,+0.4,
2018-2019,33,Juventus,4 Leagues,40.5,28,224,76,33.9,5.72,1.94,0.10,0.29,18.7,22,6,7,27.1,21.6,0.10,-0.1,-0.6,
2019-2020,34,Juventus,4 Leagues,45.6,37,259,87,33.6,5.67,1.91,0.09,0.26,19.6,28,14,16,33.0,22.0,0.09,+2.0,0.0,
2020-2021,35,Juventus,4 Leagues,41.7,36,203,78,38.4,4.87,1.87,0.13,0.35,18.6,19,9,11,32.2,24.3,0.13,+0.8,+0.7,
2021-2022,36,Juventus,1 League,0.3,0,1,0,0.0,2.90,0.00,0.00,,11.1,0,0,0,0.2,0.2,0.15,-0.2,-0.2,
2021-2022,36,Manchester Utd,3 Leagues,35.4,24,139,54,38.8,3.93,1.53,0.15,0.39,15.7,12,3,4,20.6,18.3,0.15,+3.4,+2.7,
2022-2023,37,Manchester Utd,2 Leagues,11.7,3,55,12,21.8,4.69,1.02,0.04,0.17,16.5,4,1,1,6.6,5.9,0.11,-3.6,-3.9,
2022-2023,37,Al-Nassr,1 League,9.0,11,43,20,46.5,4.78,2.22,0.16,0.35,,,4,4,,,,,,
