Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
2002-2003,17,Sporting CP,pt POR,1. Primeira Liga,3rd,12.0,,,,,,,,,,,,,,,,,Matches
2003-2004,18,Manchester Utd,eng ENG,1. Premier League,3rd,17.2,,,,,,,,,,,,,,,,,Matches
2004-2005,19,Manchester Utd,eng ENG,1. Premier League,3rd,26.9,,,,,,,,,,,,,,,,,Matches
2005-2006,20,Manchester Utd,eng ENG,1. Premier League,2nd,25.4,,,,,,,,,,,,,,,,,Matches
2006-2007,21,Manchester Utd,eng ENG,1. Premier League,1st,31.0,,,,,,,,,,,,,,,,,Matches
2007-2008,22,Manchester Utd,eng ENG,1. Premier League,1st,30.5,,,,,,,,,,,,,,,,,Matches
2008-2009,23,Manchester Utd,eng ENG,1. Premier League,1st,30.5,,,,,,,,,,,,,,,,,Matches
2009-2010,24,Real Madrid,es ESP,1. La Liga,2nd,27.3,,,,,,,,,,,,,,,,,Matches
2010-2011,25,Real Madrid,es ESP,1. La Liga,2nd,32.4,,,,,,,,,,,,,,,,,Matches
2011-2012,26,Real Madrid,es ESP,1. La Liga,1st,37.2,,,,,,,,,,,,,,,,,Matches
2012-2013,27,Real Madrid,es ESP,1. La Liga,2nd,30.2,,,,,,,,,,,,,,,,,Matches
2013-2014,28,Real Madrid,es ESP,1. La Liga,3rd,28.2,,,,,,,,,,,,,,,,,Matches
2014-2015,29,Real Madrid,es ESP,1. La Liga,2nd,34.4,,,,,,,,,,,,,,,,,Matches
2015-2016,30,Real Madrid,es ESP,1. La Liga,2nd,35.4,,,,,,,,,,,,,,,,,Matches
2016-2017,31,Real Madrid,es ESP,1. La Liga,1st,28.2,,,,,,,,,,,,,,,,,Matches
2017-2018,32,Real Madrid,es ESP,1. La Liga,3rd,25.4,99,3.90,58,1,14,19,6,1,18,0.71,10,0,3,4,1,0,Matches
2018-2019,33,Juventus,it ITA,1. Serie A,1st,29.9,145,4.85,92,2,10,23,17,1,14,0.47,8,0,1,4,1,0,Matches
2019-2020,34,Juventus,it ITA,1. Serie A,1st,32.4,148,4.57,89,1,15,31,12,0,20,0.62,10,0,3,4,3,0,Matches
2020-2021,35,Juventus,it ITA,1. Serie A,4th,31.1,122,3.92,66,2,22,19,12,1,16,0.51,7,0,3,5,1,0,Matches
2021-2022,36,Juventus,it ITA,1. Serie A,4th,0.3,2,5.81,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2021-2022,36,Manchester Utd,eng ENG,1. Premier League,6th,27.3,82,3.00,62,0,9,6,5,0,9,0.33,4,0,2,1,2,0,Matches
2022-2023,37,Manchester Utd,eng ENG,1. Premier League,4th,5.8,10,1.71,9,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
2022-2023,37,Al-Nassr,sa KSA,1. Pro League,2nd,9.0,,,,,,,,,,,,,,,,,Matches
