,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Attendu,Attendu,Attendu,Attendu,Progression,Progression,Progression,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Saison,Âge,Équipe,Comp,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs
2002-2003,17,Sporting CP,2 ligues,27,12,1198,13.3,3,3,6,3,0,0,1,0,,,,,,,,0.23,0.25,0.50,0.23,0.50,,,,,,
2003-2004,18,Manchester Utd,2 ligues,34,18,1839,20.4,4,4,8,4,0,0,4,1,,,,,,,,0.20,0.20,0.39,0.20,0.39,,,,,,
2004-2005,19,Manchester Utd,2 ligues,40,31,2925,32.5,5,6,11,5,0,0,4,0,,,,,,,,0.15,0.18,0.34,0.15,0.34,,,,,,
2005-2006,20,Manchester Utd,2 ligues,39,30,2792,31.0,9,6,15,9,0,0,9,1,,,,,,,,0.29,0.19,0.48,0.29,0.48,,,,,,
2006-2007,21,Manchester Utd,2 ligues,45,42,3753,41.7,20,12,32,17,3,4,5,0,,,,,,,,0.48,0.29,0.77,0.41,0.70,,,,,,
2007-2008,22,Manchester Utd,2 ligues,45,42,3762,41.8,39,8,47,34,5,6,7,1,,,,,,,,0.93,0.19,1.12,0.81,1.00,,,,,,
2008-2009,23,Manchester Utd,2 ligues,45,42,3753,41.7,22,8,30,18,4,4,8,1,,,,,,,,0.53,0.19,0.72,0.43,0.62,,,,,,
2009-2010,24,Real Madrid,2 ligues,35,33,2911,32.3,33,8,41,29,4,5,4,2,,,,,,,,1.02,0.25,1.27,0.90,1.14,,,,,,
2010-2011,25,Real Madrid,2 ligues,46,44,3936,43.7,46,13,59,37,9,9,4,0,,,,,,,,1.05,0.30,1.35,0.85,1.14,,,,,,
2011-2012,26,Real Madrid,2 ligues,48,47,4280,47.6,56,15,71,42,14,15,5,0,,,,,,,,1.18,0.32,1.49,0.88,1.20,,,,,,
2012-2013,27,Real Madrid,2 ligues,46,42,3796,42.2,46,11,57,40,6,7,10,0,,,,,,,,1.09,0.26,1.35,0.95,1.21,,,,,,
2013-2014,28,Real Madrid,2 ligues,41,41,3527,39.2,48,14,62,40,8,9,5,1,,,,,,,,1.22,0.36,1.58,1.02,1.38,,,,,,
2014-2015,29,Real Madrid,4 ligues,50,49,4373,48.6,61,20,81,48,13,16,6,1,,,,,,,,1.26,0.41,1.67,0.99,1.40,,,,,,
2015-2016,30,Real Madrid,2 ligues,48,48,4292,47.7,51,13,64,43,8,9,3,0,,,,,,,,1.07,0.27,1.34,0.90,1.17,,,,,,
2016-2017,31,Real Madrid,3 ligues,44,44,3919,43.5,38,12,50,32,6,8,5,0,,,,,,,,0.87,0.28,1.15,0.73,1.01,,,,,,
2017-2018,32,Real Madrid,4 ligues,42,40,3487,38.7,42,7,48,35,7,8,5,1,40.0,33.6,8.3,41.9,182,131,461,1.08,0.18,1.25,0.90,1.07,1.04,0.22,1.26,0.88,1.09,
2018-2019,33,Juventus,4 ligues,43,41,3645,40.5,28,10,38,22,6,7,4,1,27.1,21.6,7.8,29.4,182,155,460,0.69,0.25,0.94,0.54,0.79,0.71,0.20,0.91,0.57,0.77,
2019-2020,34,Juventus,4 ligues,46,46,4108,45.6,37,6,43,23,14,16,3,0,33.0,22.0,6.9,28.9,204,143,397,0.81,0.13,0.94,0.50,0.64,0.82,0.17,0.99,0.55,0.72,
2020-2021,35,Juventus,4 ligues,44,41,3750,41.7,36,4,40,27,9,11,5,0,32.2,24.3,4.5,28.8,169,135,347,0.86,0.10,0.96,0.65,0.74,0.87,0.12,0.99,0.65,0.78,
2021-2022,36,Juventus,1 ligue,1,0,31,0.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.44,0.17,0.61,0.44,0.61,
2021-2022,36,Manchester Utd,3 ligues,38,35,3186,35.4,24,3,27,21,3,4,9,0,20.6,18.3,3.4,21.6,84,83,248,0.68,0.08,0.76,0.59,0.68,0.61,0.10,0.70,0.54,0.63,
2022-2023,37,Manchester Utd,2 ligues,16,10,1055,11.7,3,2,5,2,1,1,3,0,6.6,5.9,2.2,8.0,17,35,88,0.26,0.17,0.43,0.17,0.34,0.57,0.18,0.75,0.50,0.68,
2022-2023,37,Al-Nassr,1 ligue,9,9,810,9.0,11,2,13,7,4,4,1,0,,,,,,,,1.22,0.22,1.44,0.78,1.00,,,,,,
