Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Fte,Ftp,HJ,Ctr,TclR,Int,CSC,Préussi,Pcon,Rapport de match
2003-08-16,Sam,Premier League,Journée 1,Domicile,V 4–0,Manchester Utd,Bolton,N,,30,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-08-23,Sam,Premier League,Journée 2,Extérieur,V 2–1,Manchester Utd,Newcastle Utd,N,,15,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-08-27,Mer,Premier League,Journée 3,Domicile,V 1–0,Manchester Utd,Wolves,Y,,65,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-08-31,Dim,Premier League,Journée 4,Extérieur,D 0–1,Manchester Utd,Southampton,N,,25,0,0,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-09-13,Sam,Premier League,Journée 5,Extérieur,V 2–0,Manchester Utd,Charlton Ath,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-09-21,Dim,Premier League,Journée 6,Domicile,N 0–0,Manchester Utd,Arsenal,Y,,90,0,0,0,,,,1,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-01,Mer,Champions Lg,Phase de groupe,Extérieur,D 1–2,eng Manchester Utd,de Stuttgart,Y,,89,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-18,Sam,Premier League,Journée 9,Extérieur,V 1–0,Manchester Utd,Leeds United,Y,,89,0,,0,,,,1,0,,,,,,,0,,,Rapport de match
2003-10-25,Sam,Premier League,Journée 10,Domicile,D 1–3,Manchester Utd,Fulham,Y,,67,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-11-01,Sam,Premier League,Journée 11,Domicile,V 3–0,Manchester Utd,Portsmouth,N,,15,1,,0,,,,0,0,,,,,,,0,,,Rapport de match
2003-11-04,Mar,Champions Lg,Phase de groupe,Domicile,V 3–0,eng Manchester Utd,sct Rangers,Y,,90,0,,0,,,,0,0,,,,,,,0,,,Rapport de match
