Date,Jour,Comp,Tour,Tribune,Résultat,Équipe,Adversaire,Début,Pos,Min,Buts,PD,PénM,PénT,Tirs,TC,CJ,CR,Touches,Tcl,Int,Balles contrées,xG,npxG,xAG,AMT,AMB,Cmp,Att,Cmp%,PrgP,Balle au pied,PrgC,Att,Succ,Rapport de match
2021-08-22,Dim,Serie A,Journée 1,Extérieur,N 2–2,Juventus,Udinese,N,FW,31,0,0,0,0,1,0,1,0,15,1,0,0,0.2,0.2,0.1,2,0,8,13,61.5,2,7,1,1,1,Rapport de match
2021-09-01,Mer,WCQ,Premier tour,Domicile,V 2–1,pt Portugal,ie Rep. of Ireland,Y*,FW,90,2,0,0,1,8,4,1,0,,,0,,,,,,,,,,,,,,,Rapport de match
2021-09-11,Sam,Premier League,Journée 4,Domicile,V 4–1,Manchester Utd,Newcastle Utd,Y,FW,90,2,0,0,0,6,2,0,0,59,0,1,2,1.3,1.3,0.0,2,0,40,46,87.0,4,25,2,0,0,Rapport de match
2021-09-14,Mar,Champions Lg,Phase de groupe,Extérieur,D 1–2,eng Manchester Utd,ch Young Boys,Y,FW,71,1,0,0,0,2,2,0,0,27,1,0,0,0.5,0.5,0.0,0,0,17,20,85.0,1,16,1,0,0,Rapport de match
2021-09-19,Dim,Premier League,Journée 5,Extérieur,V 2–1,Manchester Utd,West Ham,Y,FW,90,1,0,0,0,7,5,0,0,42,0,0,0,1.6,1.6,0.0,2,1,23,28,82.1,1,32,3,0,0,Rapport de match
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-25,Sam,Premier League,Journée 6,Domicile,D 0–1,Manchester Utd,Aston Villa,Y,FWLW,90,0,0,0,0,4,0,0,0,34,0,0,1,0.1,0.1,0.0,5,0,18,26,69.2,3,24,3,1,1,Rapport de match
2021-09-29,Mer,Champions Lg,Phase de groupe,Domicile,V 2–1,eng Manchester Utd,es Villarreal,Y,FWLW,90,1,0,0,0,3,1,1,0,44,0,0,2,0.3,0.3,0.2,4,1,25,30,83.3,4,22,2,3,0,Rapport de match
2021-10-02,Sam,Premier League,Journée 7,Domicile,N 1–1,Manchester Utd,Everton,N,FW,34,0,0,0,0,1,0,0,0,16,0,0,0,0.1,0.1,0.0,2,0,12,14,85.7,0,9,2,0,0,Rapport de match
2021-10-09,Sam,Matchs amicaux (H),Matchs amicaux (H),Domicile,V 3–0,pt Portugal,qa Qatar,Y*,FW,45,1,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Rapport de match
2021-10-12,Mar,WCQ,Premier tour,Domicile,V 5–0,pt Portugal,lu Luxembourg,Y*,FW,90,3,0,2,2,7,5,0,0,,,0,,,,,,,,,,,,,,,Rapport de match
2021-10-16,Sam,Premier League,Journée 8,Extérieur,D 2–4,Manchester Utd,Leicester City,Y,FW,90,0,0,0,0,3,1,0,0,40,0,0,0,0.2,0.2,0.0,2,0,28,31,90.3,2,20,0,1,1,Rapport de match
2021-10-20,Mer,Champions Lg,Phase de groupe,Domicile,V 3–2,eng Manchester Utd,it Atalanta,Y,FWLW,90,1,0,0,0,7,4,0,0,43,0,0,0,0.9,0.9,0.2,8,0,24,30,80.0,3,16,5,1,0,Rapport de match
