,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Season,Age,Squad,Country,Comp,LgRank,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
2006-2007,19,Groningen,nl NED,1. Eredivisie,8th,25.6,,,,,,,,,,,,,,,4,,,,,,,,,Matches
2007-2008,20,Ajax,nl NED,1. Eredivisie,2nd,27.1,,,,,,,,,,,,,,,14,,,,,,,,,Matches
2008-2009,21,Ajax,nl NED,1. Eredivisie,3rd,30.0,,,,,,,,,,,,,,,12,,,,,,,,,Matches
2009-2010,22,Ajax,nl NED,1. Eredivisie,2nd,33.0,,,,,,,,,,,,,,,16,,,,,,,,,Matches
2010-2011,23,Ajax,nl NED,1. Eredivisie,1st,13.0,,,,,,,,,,,,,,,6,,,,,,,,,Matches
2010-2011,23,Liverpool,eng ENG,1. Premier League,6th,12.2,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2011-2012,24,Liverpool,eng ENG,1. Premier League,8th,28.3,,,,,,,,,,,,,,,3,,,,,,,,,Matches
2012-2013,25,Liverpool,eng ENG,1. Premier League,7th,32.8,,,,,,,,,,,,,,,5,,,,,,,,,Matches
2013-2014,26,Liverpool,eng ENG,1. Premier League,2nd,32.9,,,,,,,,,,,,,,,12,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,24.0,,,,,,,,,,,,,,,13,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,35.0,,,,,,,,,,,,,,,17,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.7,,,,,,,,,,,,,,,12,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,32.2,818,1080,75.7,11732,2032,486,596,81.5,211,274,77.0,58,84,69.0,12,10.5,8.1,+1.5,57,32,50,1,97,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,31.4,744,1001,74.3,11662,2187,414,506,81.8,204,273,74.7,78,101,77.2,6,6.9,5.9,-0.9,47,40,38,5,97,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,22.2,505,672,75.1,7026,968,290,351,82.6,131,164,79.9,35,54,64.8,8,2.5,2.8,+5.5,26,19,16,1,43,Matches
2020-2021,33,Atlético Madrid,es ESP,1. La Liga,1st,27.9,418,588,71.1,5622,896,234,308,76.0,90,130,69.2,35,47,74.5,3,3.0,2.0,0.0,27,23,22,1,46,Matches
2021-2022,34,Atlético Madrid,es ESP,1. La Liga,3rd,20.4,363,502,72.3,5049,895,213,276,77.2,90,112,80.4,27,41,65.9,2,1.3,1.2,+0.7,15,24,13,1,40,Matches
