,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,
Season,Age,Squad,Country,Comp,LgRank,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
2006-2007,19,Groningen,nl NED,1. Eredivisie,8th,25.6,10,,34,,,1.33,,0.29,,,0,0,,,,,,Matches
2007-2008,20,Ajax,nl NED,1. Eredivisie,2nd,27.1,17,,51,,,1.88,,0.33,,,0,0,,,,,,Matches
2008-2009,21,Ajax,nl NED,1. Eredivisie,3rd,30.0,22,,72,,,2.40,,0.19,,,8,9,,,,,,Matches
2009-2010,22,Ajax,nl NED,1. Eredivisie,2nd,33.0,35,,104,,,3.15,,0.26,,,8,9,,,,,,Matches
2010-2011,23,Ajax,nl NED,1. Eredivisie,1st,13.0,7,,31,,,2.38,,0.16,,,2,2,,,,,,Matches
2010-2011,23,Liverpool,eng ENG,1. Premier League,6th,12.2,4,,22,,,1.80,,0.18,,,0,0,,,,,,Matches
2011-2012,24,Liverpool,eng ENG,1. Premier League,8th,28.3,11,,42,,,1.49,,0.26,,,0,1,,,,,,Matches
2012-2013,25,Liverpool,eng ENG,1. Premier League,7th,32.8,23,,74,,,2.26,,0.31,,,0,0,,,,,,Matches
2013-2014,26,Liverpool,eng ENG,1. Premier League,2nd,32.9,31,,94,,,2.86,,0.33,,,0,0,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,24.0,16,,38,,,1.58,,0.42,,,0,0,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,35.0,40,137,70,51.1,3.91,2.00,0.27,0.53,,,3,5,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.7,28,120,57,47.5,3.78,1.80,0.23,0.49,,,0,0,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,32.2,25,120,54,45.0,3.73,1.68,0.20,0.44,13.6,12,1,1,23.4,22.6,0.19,+1.6,+1.4,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,31.4,21,108,54,50.0,3.44,1.72,0.16,0.31,15.8,6,4,4,23.1,20.0,0.18,-2.1,-3.0,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,22.2,16,78,41,52.6,3.51,1.85,0.19,0.37,15.9,1,1,1,12.7,12.0,0.15,+3.3,+3.0,Matches
2020-2021,33,Atlético Madrid,es ESP,1. La Liga,1st,27.9,21,101,40,39.6,3.62,1.44,0.18,0.45,16.0,7,3,3,16.2,13.9,0.14,+4.8,+4.1,Matches
2021-2022,34,Atlético Madrid,es ESP,1. La Liga,3rd,20.4,11,51,23,45.1,2.50,1.13,0.18,0.39,19.6,2,2,3,10.0,7.7,0.15,+1.0,+1.3,Matches
