Season,Age,Squad,Country,Comp,LgRank,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
2006-2007,19,Groningen,nl NED,1. Eredivisie,8th,25.6,,,,,,,,,,,,,,,,,Matches
2007-2008,20,Ajax,nl NED,1. Eredivisie,2nd,27.1,,,,,,,,,,,,,,,,,Matches
2008-2009,21,Ajax,nl NED,1. Eredivisie,3rd,30.0,,,,,,,,,,,,,,,,,Matches
2009-2010,22,Ajax,nl NED,1. Eredivisie,2nd,33.0,,,,,,,,,,,,,,,,,Matches
2010-2011,23,Ajax,nl NED,1. Eredivisie,1st,13.0,,,,,,,,,,,,,,,,,Matches
2010-2011,23,Liverpool,eng ENG,1. Premier League,6th,12.2,,,,,,,,,,,,,,,,,Matches
2011-2012,24,Liverpool,eng ENG,1. Premier League,8th,28.3,,,,,,,,,,,,,,,,,Matches
2012-2013,25,Liverpool,eng ENG,1. Premier League,7th,32.8,,,,,,,,,,,,,,,,,Matches
2013-2014,26,Liverpool,eng ENG,1. Premier League,2nd,32.9,,,,,,,,,,,,,,,,,Matches
2014-2015,27,Barcelona,es ESP,1. La Liga,1st,24.0,,,,,,,,,,,,,,,,,Matches
2015-2016,28,Barcelona,es ESP,1. La Liga,1st,35.0,,,,,,,,,,,,,,,,,Matches
2016-2017,29,Barcelona,es ESP,1. La Liga,2nd,31.7,,,,,,,,,,,,,,,,,Matches
2017-2018,30,Barcelona,es ESP,1. La Liga,1st,32.2,132,4.10,85,1,17,13,16,0,21,0.65,15,0,2,2,2,0,Matches
2018-2019,31,Barcelona,es ESP,1. La Liga,1st,31.4,121,3.85,86,0,11,8,15,1,25,0.80,15,0,5,1,4,0,Matches
2019-2020,32,Barcelona,es ESP,1. La Liga,2nd,22.2,68,3.06,45,0,14,6,3,0,13,0.59,10,0,1,1,1,0,Matches
2020-2021,33,Atlético Madrid,es ESP,1. La Liga,1st,27.9,64,2.30,39,0,3,13,9,0,8,0.29,4,0,0,1,3,0,Matches
2021-2022,34,Atlético Madrid,es ESP,1. La Liga,3rd,20.4,38,1.86,27,0,2,5,2,2,7,0.34,4,0,1,1,1,0,Matches
