,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Attendu,Attendu,Attendu,Attendu,Progression,Progression,Progression,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,
Saison,Âge,Équipe,Pays,Comp,CltChamp,MJ,Titulaire,Min,90,Buts,PD,B+PD,B-PénM,PénM,PénT,CJ,CR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs
2006-2007,19,Groningen,nl NED,1. Eredivisie,8e,29,26,2308,25.6,10,4,14,10,0,0,7,0,,,,,,,,0.39,0.16,0.55,0.39,0.55,,,,,,Matchs
2007-2008,20,Ajax,nl NED,1. Eredivisie,2e,33,29,2436,27.1,17,14,31,17,0,0,4,0,,,,,,,,0.63,0.52,1.15,0.63,1.15,,,,,,Matchs
2008-2009,21,Ajax,nl NED,1. Eredivisie,3e,31,30,2702,30.0,22,12,34,14,8,9,9,0,,,,,,,,0.73,0.40,1.13,0.47,0.87,,,,,,Matchs
2009-2010,22,Ajax,nl NED,1. Eredivisie,2e,33,33,2970,33.0,35,16,51,27,8,9,5,0,,,,,,,,1.06,0.48,1.55,0.82,1.30,,,,,,Matchs
2010-2011,23,Ajax,nl NED,1. Eredivisie,1er,13,13,1170,13.0,7,6,13,5,2,2,3,0,,,,,,,,0.54,0.46,1.00,0.38,0.85,,,,,,Matchs
2010-2011,23,Liverpool,eng ENG,1. Premier League,6e,13,12,1100,12.2,4,3,7,4,0,0,2,0,,,,,,,,0.33,0.25,0.57,0.33,0.57,,,,,,Matchs
2011-2012,24,Liverpool,eng ENG,1. Premier League,8e,31,29,2544,28.3,11,3,14,11,0,1,5,0,,,,,,,,0.39,0.11,0.50,0.39,0.50,,,,,,Matchs
2012-2013,25,Liverpool,eng ENG,1. Premier League,7e,33,33,2953,32.8,23,5,28,23,0,0,10,0,,,,,,,,0.70,0.15,0.85,0.70,0.85,,,,,,Matchs
2013-2014,26,Liverpool,eng ENG,1. Premier League,2e,33,33,2962,32.9,31,12,43,31,0,0,6,0,,,,,,,,0.94,0.36,1.31,0.94,1.31,,,,,,Matchs
2014-2015,27,Barcelona,es ESP,1. La Liga,1er,27,25,2159,24.0,16,13,29,16,0,0,4,0,,,,,,,,0.67,0.54,1.21,0.67,1.21,,,,,,Matchs
2015-2016,28,Barcelona,es ESP,1. La Liga,1er,35,35,3150,35.0,40,17,57,37,3,5,7,0,,,,,,,,1.14,0.49,1.63,1.06,1.54,,,,,,Matchs
2016-2017,29,Barcelona,es ESP,1. La Liga,2e,35,34,2857,31.7,28,12,40,28,0,0,8,0,,,,,,,,0.88,0.38,1.26,0.88,1.26,,,,,,Matchs
2017-2018,30,Barcelona,es ESP,1. La Liga,1er,33,32,2899,32.2,25,12,37,24,1,1,9,0,23.4,22.6,10.5,33.2,61,97,331,0.78,0.37,1.15,0.75,1.12,0.73,0.33,1.05,0.70,1.03,Matchs
2018-2019,31,Barcelona,es ESP,1. La Liga,1er,33,31,2827,31.4,21,6,27,17,4,4,5,0,23.1,20.0,6.9,26.9,73,97,294,0.67,0.19,0.86,0.54,0.73,0.74,0.22,0.96,0.64,0.86,Matchs
2019-2020,32,Barcelona,es ESP,1. La Liga,2e,28,22,1998,22.2,16,8,24,15,1,1,4,0,12.7,12.0,2.5,14.5,30,43,171,0.72,0.36,1.08,0.68,1.04,0.57,0.11,0.68,0.54,0.65,Matchs
2020-2021,33,Atlético Madrid,es ESP,1. La Liga,1er,32,30,2508,27.9,21,3,24,18,3,3,6,0,16.2,13.9,3.0,16.8,30,46,171,0.75,0.11,0.86,0.65,0.75,0.58,0.11,0.69,0.50,0.60,Matchs
2021-2022,34,Atlético Madrid,es ESP,1. La Liga,3e,35,20,1835,20.4,11,2,13,9,2,3,7,0,10.0,7.7,1.3,8.9,16,40,105,0.54,0.10,0.64,0.44,0.54,0.49,0.06,0.55,0.38,0.44,Matchs
